Designator,Mid X,Mid Y,Rotation,Layer
A1,411.255625,-41.9425,0.0,top
C1,424.845625,-23.340625,180.0,top
C10,276.881875,-57.706875,180.0,bottom
C11,358.499375,-57.769375,180.0,bottom
C12,86.481875,-86.356875,180.0,bottom
C13,162.681875,-86.356875,180.0,bottom
C14,238.681875,-86.356875,180.0,bottom
C15,339.299375,-86.419375,180.0,bottom
C16,57.681875,-105.356875,180.0,bottom
C17,133.881875,-105.356875,180.0,bottom
C18,210.081875,-105.356875,180.0,bottom
C19,291.281875,-105.356875,180.0,bottom
C2,424.845625,-26.9125,180.0,top
C20,382.299375,-105.419375,180.0,bottom
C21,100.681875,-124.356875,180.0,bottom
C22,176.881875,-124.456875,180.0,bottom
C23,252.881875,-124.356875,180.0,bottom
C24,72.044375,-143.556875,180.0,bottom
C25,148.244375,-143.556875,180.0,bottom
C26,224.444375,-143.556875,180.0,bottom
C27,382.099375,-143.619375,180.0,bottom
C28,152.881875,-162.556875,180.0,bottom
C29,293.881875,-162.556875,180.0,bottom
C3,423.8875,-20.549375,270.0,top
C30,382.299375,-162.619375,180.0,bottom
C31,323.0275,-33.769375,270.0,bottom
C4,29.606875,-38.706875,180.0,bottom
C5,124.381875,-38.706875,180.0,bottom
C6,210.131875,-38.706875,180.0,bottom
C7,295.881875,-38.95,180.0,bottom
C8,105.381875,-57.706875,180.0,bottom
C9,191.131875,-57.706875,180.0,bottom
D1,37.74125,-31.456875,90.0,bottom
D10,246.97375,-31.456875,90.0,bottom
D100,233.876875,-155.281875,90.0,bottom
D101,256.81625,-155.281875,90.0,bottom
D102,279.438125,-155.281875,90.0,bottom
D103,302.06,-155.281875,90.0,bottom
D104,328.55375,-155.344375,90.0,bottom
D105,347.60375,-155.344375,90.0,bottom
D106,366.65375,-155.344375,90.0,bottom
D107,390.46625,-155.344375,90.0,bottom
D11,266.02375,-31.456875,90.0,bottom
D12,285.07375,-31.456875,90.0,bottom
D13,304.12375,-31.456875,90.0,bottom
D14,372.924375,-30.32875,90.0,bottom
D15,37.74125,-50.506875,90.0,bottom
D16,75.52375,-50.506875,90.0,bottom
D17,94.57375,-50.506875,90.0,bottom
D18,113.62375,-50.506875,90.0,bottom
D19,132.67375,-50.506875,90.0,bottom
D2,75.52375,-31.456875,90.0,bottom
D20,161.24875,-50.506875,90.0,bottom
D21,180.29875,-50.506875,90.0,bottom
D22,199.34875,-50.506875,90.0,bottom
D23,218.39875,-50.506875,90.0,bottom
D24,246.97375,-50.506875,90.0,bottom
D25,266.02375,-50.506875,90.0,bottom
D26,285.07375,-50.506875,90.0,bottom
D27,304.12375,-50.506875,90.0,bottom
D28,328.55375,-50.569375,90.0,bottom
D29,347.60375,-50.569375,90.0,bottom
D3,94.57375,-31.456875,90.0,bottom
D30,366.65375,-50.569375,90.0,bottom
D31,372.924375,-49.37875,90.0,bottom
D32,37.42375,-79.081875,90.0,bottom
D33,56.47375,-79.081875,90.0,bottom
D34,75.52375,-79.081875,90.0,bottom
D35,94.57375,-79.081875,90.0,bottom
